위도,경도,start_date,name,phone,addr:full,source:date,amenity,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.32383252,126.8321516,1975-05-16,표선가축병원,064-787-2345,,2020-06-29,veterinary,,표선관정로,113-5,표선면,,,
33.25113816,126.5640901,1994-07-01,서울동물병원,,,2020-06-29,veterinary,,동문로,29,,,,
33.44712716,126.9111717,1996-04-27,동아동물병원,064-792-3324,,2020-06-29,veterinary,,서성일로,1241,성산읍,,,
33.25505136,126.5767935,2015-10-01,서귀포시축협동물병원,064-733-1471,,2020-06-29,veterinary,,일주동로,8532,,,,
33.25027968,126.5648998,2001-03-16,조은동물병원,,,2020-06-29,veterinary,,동문로,40,,,,
33.25638808,126.5683821,1995-05-31,현대동물병원,064-733-8250,,2020-06-29,veterinary,,동홍로90번길,2,,,,
33.21932525,126.2527596,2005-09-07,가람동물병원,,,2020-06-29,veterinary,,최남단해안로29번길,22,대정읍,,,
33.30655025,126.8063978,2005-07-25,맑은동물병원,,,2020-06-29,veterinary,,민속해안로,3,표선면,,,
33.30778351,126.7779555,2012-04-10,다산동물병원,,,2020-06-29,veterinary,,일주동로6496번길,2,표선면,,,
33.25200726,126.5627175,2013-03-12,서귀포동물의료센터,,,2020-06-29,veterinary,,동문로,13,,,,
33.21198443,126.2920425,2016-02-04,제마동물병원,,,2020-06-29,veterinary,,형제해안로,256,대정읍,,,
33.25357699,126.5086315,2016-04-06,정든동물병원,064-738-7975,,2020-06-29,veterinary,,신서로48번길,31,,,,
33.27384393,126.6100331,2016-11-10,현클리닉,,,2020-06-29,veterinary,,하신상로,174-12,,,,
33.23248239,126.2904957,2016-12-07,케어팜동물병원,064-901-4662,,2020-06-29,veterinary,,사계북로,17-16,안덕면,,,
33.25427225,126.5672145,2016-12-27,캣츠앤독스 동물병원,,,2020-06-29,veterinary,,일주동로,8621,,,,
33.25391592,126.5635971,2017-09-29,해올동물병원,,,2020-06-29,veterinary,,일주동로,8656,,,,
33.22543931,126.2522621,2018-08-13,미듬동물병원,,,2020-06-29,veterinary,,하모중앙로,32,대정읍,,,
33.28181205,126.7210242,2018-09-17,동물병원도담도담,064-900-7543,,2020-06-29,veterinary,,태위로723번길,31-11,남원읍,,,
33.39381006,126.7991755,2019-10-18,25힐링센터,,,2020-06-29,veterinary,,성읍정의현로122번길,15,표선면,,,
33.25132886,126.4329898,2019-12-26,중문동물병원,064-739-3111,,2020-06-29,veterinary,,천제연로,265,,,,
33.27949599,126.7199103,2020-02-20,남원동물병원,064-764-1050,,2020-06-29,veterinary,,태위로,687,남원읍,,,
33.27971594,126.2767418,2020-03-17,에듀동물병원,,,2020-06-29,veterinary,,글로벌에듀로,390,대정읍,,,
33.28066983,126.2782116,2020-06-03,정직한 동물병원,,,2020-06-29,veterinary,,글로벌에듀로,370,대정읍,,,
