위도,경도,amenity,name,addr:full,phone,source:date
36.60479683,127.2889181,fire_station,조치원소방서 ,세종특별자치시 조치원읍 세종로 2439,044-300-8313,2020-09-10
36.50601488,127.2739352,fire_station,세종소방서,세종특별자치시 절재로 301,044-300-8413,2020-09-10
36.60479683,127.2889181,fire_station,조치원119안전센터,조치원읍 세종로 2439,044-300-8523,2020-09-10
36.60172,127.296428,fire_station,원리119지역대,조치원읍 으뜸길 235,044-300-8562,2020-09-10
36.68647966,127.1923418,fire_station,전의119안전센터,전의면 서정길 46-6,044-300-8533,2020-09-10
36.72165115,127.1582116,fire_station,소정면119지역대,소정면 학교말길 17-3,044-300-8577,2020-09-10
36.52834441,127.3721168,fire_station,부강119안전센터,부강면 청연로 7,044-300-8543,2020-09-10
36.55875661,127.3266955,fire_station,연동면119지역대,연동면 내송길 18,,2020-09-10
36.58951441,127.2022248,fire_station,연서119안전센터,연서면 도신고복로 306,044-300-8553,2020-09-10
36.65604867,127.263729,fire_station,전동면119지역대,전동면 운주산로 386,044-300-8579,2020-09-10
36.50601488,127.2739352,fire_station,어진119안전센터,절재로 301,044-300-8623,2020-09-10
36.51141552,127.2466441,fire_station,아름119안전센터,보듬3로 119,044-300-8633,2020-09-10
36.5441212,127.2758917,fire_station,연기면119지역대,연기면 당산로 113-3,044-300-8609,2020-09-10
36.48050107,127.2592076,fire_station,한솔119안전센터,노을3로 29,044-300-8643,2020-09-10
36.47794768,127.2914379,fire_station,보람119안전센터,남세종로 436,044-300-8653,2020-09-10
36.46411188,127.28054,fire_station,금남면119지역대,금남면 용포로 59,,2020-09-10
36.49654061,127.2041824,fire_station,장군119안전센터,장군면 장척로 387-4,044-300-8663,2020-09-10
