위도,경도,amenity,name,addr:full,phone,source,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.52245151,126.6634026,pharmacy,가정약국,,+82 32 246 4627,공공데이터포털,2020-08-28,,새오개로111번안길,19-1,신현동,,,107
37.5323839,126.6470464,pharmacy,송송약국,,+82 32 266 5200,공공데이터포털,2020-08-28,,청라커낼로260번길,27,,,,130
37.52208025,126.6648346,pharmacy,연세드림약국,,+82 32 572 9003,공공데이터포털,2020-08-28,,새오개로111번안길,32,신현동,,,102
37.51848254,126.6726021,pharmacy,사(4)층약국,,+82 32 573 4995,공공데이터포털,2020-08-28,,가정로,375,,,,409
37.53388963,126.650289,pharmacy,블루팜약국,,+82 32 263 5116,공공데이터포털,2020-08-28,,중봉대로,610,청라동,,,105
37.54172212,126.6840832,pharmacy,가까운약국,,+82 32 566 0998,공공데이터포털,2020-08-28,,심곡로100번길,30,,,,
37.52647816,126.6697114,pharmacy,루원시티약국,,+82 32 564 8575,공공데이터포털,2020-08-28,,염곡로,468,,,,106
37.53212602,126.6568263,pharmacy,옵티마강남약국,,+82 32 865 2222,공공데이터포털,2020-08-28,,청라에메랄드로,84,,,,106
37.52638571,126.6711046,pharmacy,루원진약국,,+82 32 569 4880,공공데이터포털,2020-08-28,,염곡로464번길,15,가정동,,,106
37.53212602,126.6568263,pharmacy,신신약국,,+82 32 565 0416,공공데이터포털,2020-08-28,,청라에메랄드로,78,,,,106
37.53233836,126.6556911,pharmacy,청라큰사랑약국,,+82 32 568 7729,공공데이터포털,2020-08-28,,청라에메랄드로,79,청라동,,,B12-B13
37.53386257,126.6455601,pharmacy,청라천사약국,,+82 32 572 8887,공공데이터포털,2020-08-28,,청라커낼로288번길,10,,,,112
37.49456871,126.6814046,pharmacy,가좌한마음약국,,+82 32 571 7582,공공데이터포털,2020-08-28,,원적로,85,,,,210
37.53208948,126.6457279,pharmacy,두리약국,,,공공데이터포털,2020-08-28,,청라커낼로260번길,11,,,,105
37.52242283,126.6648511,pharmacy,새오개약국,,+82 32 571 5553,공공데이터포털,2020-08-28,,새오개로111번안길,31,신현동,,,101
37.54409033,126.6750794,pharmacy,새봄약국,,+82 32 562 6610,공공데이터포털,2020-08-28,,탁옥로,49,,,,404
37.49501687,126.6828103,pharmacy,서광약국,,+82 32 572 6635,공공데이터포털,2020-08-28,,원적로,100,,,,101-102
37.49278194,126.6860157,pharmacy,해봄약국,,+82 32 571 3857,공공데이터포털,2020-08-28,,장고개로337번길,7,가좌동,,,103
37.49526897,126.6844116,pharmacy,딸기약국,,+82 32 573 5670,공공데이터포털,2020-08-28,,건지로,402,,,,105
37.60260123,126.65743,pharmacy,메디피아약국,,+82 32 562 0258,공공데이터포털,2020-08-28,,완정로,172,마전동,,,109
37.53209493,126.6509323,pharmacy,금빛약국,,+82 32 565 0531,공공데이터포털,2020-08-28,,중봉대로586번길,9-4,,,,113
37.56363436,126.6735565,pharmacy,큰사랑약국,,+82 32 565 7996,공공데이터포털,2020-08-28,,승학로,470,검암동,,,108
37.51633814,126.6758186,pharmacy,더사랑약국,,+82 70 4388 5131,공공데이터포털,2020-08-28,,가경주로40번길,20-10,가정동,,,1
37.49314401,126.6853535,pharmacy,일화약국,,+82 32 576 9321,공공데이터포털,2020-08-28,,장고개로337번길,16,,,,408
37.51813807,126.673219,pharmacy,하늘약국,,+82 32 576 2020,공공데이터포털,2020-08-28,,가정로,372,가정동,,1,
37.51944582,126.6733316,pharmacy,세란약국,,+82 32 582 1682,공공데이터포털,2020-08-28,,가정로,388,가정동,,1,
37.59395092,126.6749328,pharmacy,올리브약국,,+82 32 566 5505,공공데이터포털,2020-08-28,,원당대로,663,,,,103
37.52370315,126.6240684,pharmacy,행복온누리약국,,+82 32 567 0523,공공데이터포털,2020-08-28,,솔빛로,24,청라동,,,101-102
37.5927574,126.6956075,pharmacy,푸른솔약국,,+82 32 563 0236,공공데이터포털,2020-08-28,,고산후로95번길,32,,,,102
