위도,경도,landuse,industrial,name,operator,사업장업종명,phone,addr:full
37.617008,129.036201,industrial,sawmill,대안환경㈜,박대성,육상골재채취업,,강원도 강릉시 옥계면 현내리 131-3
37.8463714,128.8213234,industrial,sawmill,정림산업㈜,김태옥,육상골재채취업,,강원도 강릉시 연곡면 송림리 144-1
37.882879,128.821231,industrial,sawmill,㈜명승에스앤디,오남주,육상골재채취업,,강원도 강릉시 주문진읍 교항리 370-8
37.8463714,128.8213234,industrial,sawmill,송림(합),김태옥,육상골재채취업,,강원도 강릉시 연곡면 송림리 144-1
37.6975132,128.9770184,industrial,sawmill,서강자원개발㈜,강성권,"산림골재채취업, 골재선별파쇄업",,강원도 강릉시 강동면 임곡리 67-1
37.7674857,128.8835764,industrial,sawmill,㈜솔림,김태옥,육상골재채취업,,강원도 강릉시 교동 1750
38.1345024,128.0427643,industrial,sawmill,운현산업(주),여운빈,"육상골재채취업, 골재선별파쇄업",,강원도 양구군 남면 가오작리 975-2
38.109217,128.03322,industrial,sawmill,경인산업개발(주),정상철,골재선별파쇄업,,강원도 양구군 남면 용하리 429-19
37.1433,128.1715,industrial,sawmill,오즈스톤㈜,,선별파쇄업,,강원도 영월군 주천면 금마리 206-4
37.324994,127.841642,industrial,sawmill,(주)석천건설산업,오세환,골재선별파쇄업,,강원도 원주시 문막읍 동화리 523
37.378263,127.859541,industrial,sawmill,(자)신성건설,이정웅 외1명,육상골재채취업,,강원도 원주시 지정면 월송리 506-3
37.33163,127.947479,industrial,sawmill,(주)삼원골재,전옥자,육상골재채취업,,강원도 원주시 단구동 1510-1 2301호
37.337844,127.962033,industrial,sawmill,(합)일훈기업,전옥자,육상골재채취업,,강원도 원주시 개운동 483
37.30704875,127.8165022,industrial,sawmill,(합)진성산업,한광진,"육상골재채취업, 골재선별파쇄업",,강원도 원주시 문막읍 문막1리 257-4
37.44262,129.1634107,industrial,sawmill,샌드파크㈜,박영준,육상골재,,강원도 삼척시 당저동 180-6
37.3018683,129.280593,industrial,sawmill,인창산업㈜,문제호,"육상골재, 선별파쇄, 산림골재",,강원도 삼척시 근덕면 매원리 344
37.87629217,127.7753494,industrial,sawmill,성민산업㈜,지성구,육상골재채취업,,강원도 춘천시 동면 만천리 278-1
37.701737,127.900484,industrial,sawmill,(합)신우이앤씨,이환복,"육상골재채취업, 선별파쇄업",,강원도 홍천군 홍천읍 태학리 50
38.2187474,128.5299876,industrial,sawmill,㈜금강레미콘,심규섭,"육상골재업, 산림골재업, 골재선별파쇄업",,강원도 고성군 토성면 성천리 307-3
38.235373,128.560071,industrial,sawmill,㈜미호,최상남,육상골재업,,강원도 고성군 토성면 인흥리 161
38.3758722,128.4818125,industrial,sawmill,㈜벽천레미콘,문창환,육상골재업,,강원도 고성군 죽왕면 향목리 235-1
38.4495775,128.4282688,industrial,sawmill,㈜용두산업,김우동,"육상골재업, 산림골재업, 골재선별파쇄업",,강원도 고성군 거진읍 화포리 281-2
37.1748668,129.3361145,industrial,sawmill,(합)한영개발,민지선,"육상골재, 선별파쇄",,강원도 삼척시 원덕읍 호산리 258-49
37.3924892,129.2221106,industrial,sawmill,샌드랜드(주),신직호,육상골재,,강원도 삼척시 근덕면 하맹방리 220-29
38.3826222,128.4724716,industrial,sawmill,현대산업㈜,김영국,육상골재업,,강원도 고성군 간성읍 신안리 347-4
38.3826222,128.4724716,industrial,sawmill,신일골재㈜,이영순,육상골재업,,강원도 고성군 간성읍 신안리 347-4
37.88580815,127.718198,industrial,sawmill,한승골재(합),유병욱,"육상골재채취업, 골재선별파쇄업",,강원도 춘천시 근화동 160-3
37.88151876,127.7323922,industrial,sawmill,㈜거성산업개발,,"수중골재채취업, 육상골재채취업",,강원도 춘천시 조양동 3-53
38.3789404,128.4728311,industrial,sawmill,삼원골재㈜,김희권,육상골재업,,강원도 고성군 간성읍 신안리 159-11
37.4486174,129.1854342,industrial,sawmill,(주)석용산업개발,정용석,선별파쇄,,강원도 삼척시 교동 658-10
37.1770124,129.3333799,industrial,sawmill,대득산업㈜,이성재,"선별파쇄, 산림골재",,강원도 삼척시 원덕읍 호산리 368-7
37.44262,129.1634107,industrial,sawmill,월드산업㈜,박영준,육상골재,,강원도 삼척시 당저동 180-6
38.379302,128.466858,industrial,sawmill,성동골재㈜,최용수,육상골재업,,강원도 고성군 간성읍 하리 22-4
38.379302,128.466858,industrial,sawmill,우일산업㈜,최용수,육상골재업,,강원도 고성군 간성읍 하리 22-4
37.3517967,129.2437435,industrial,sawmill,신우개발(주),우형호,육상골재,,강원도 삼척시 근덕면 부남리 173
38.3789404,128.4728311,industrial,sawmill,고성골재㈜ ,김성자,육상골재업,,강원도 고성군 간성읍 신안리 159-11
37.3980392,129.2144632,industrial,sawmill,㈜영림,정선옥,육상골재,,강원도 삼척시 근덕면 상맹방리 1-25
37.710244,127.913868,industrial,sawmill,㈜성우산업,신항섭,육상골재채취업,,강원도 홍천군 홍천읍 결운리 277-2
37.433797,129.1685271,industrial,sawmill,㈜근현산업,김영희,육상골재,,강원도 삼척시 사직동 302-6
37.3199489,129.2193943,industrial,sawmill,동막개발(주),김종환,"육상골재, 산림골재, 선별파쇄",,강원도 삼척시 근덕면 동막리 316
