위도,경도,amenity,sport,name,addr:full,phone,source:date
33.2510404201,126.2726368946,pitch,gateball,보성리전천후게이트볼장,제주특별자치도 서귀포시 대정읍 추사로 93-11,+82 64 760 4315,2020-08-03
33.2883692373,126.7503718315,pitch,gateball,태흥리농어촌복합체육시설,제주특별자치도 서귀포시 남원읍 태위로 988-5,+82 64 760 4117,2020-08-03
33.4447515,126.9096023,pitch,gateball,성산읍전천후게이트볼장,제주특별자치도 서귀포시 서성일로 1222번길 36,+82 64 760 4218,2020-08-03
33.3869011,126.8794453,pitch,gateball,성산서부전천후게이트볼장,제주특별자치도 서귀포시 신난로 16,+82 64 760 4218,2020-08-03
33.3531879017,126.8133889553,pitch,gateball,표선전천후게이트볼장,제주특별자치도 서귀포시 표선면 한마음초등로 396,+82 64 760 3657,2020-08-03
33.2175717,126.2542892,pitch,gateball,대정전천후게이트볼장,제주특별자치도 서귀포시 최남단해안로 109번길 67,+82 64 760 4018,2020-08-03
33.2706916,126.662023,pitch,gateball,남원위미전천후게이트볼장,제주특별자치도 서귀포시 위미중앙로 196번길 22-24,+82 64 760 4117,2020-08-03
33.2778828598,126.7034070554,pitch,gateball,남원전천후게이트볼장,제주특별자치도 서귀포시 남원읍 태위로 551-27,+82 64 760 4117,2020-08-03
33.2643662211,126.4247975156,pitch,gateball,중문동전천후게이트볼장,제주특별자치도 서귀포시 색달로 199-22,+82 64 760 3632,2020-08-03
33.2328463695,126.4747332275,pitch,gateball,강정동전천후게이트볼장,제주특별자치도 서귀포시 강정통물로 55,+82 64 760 3632,2020-08-03
33.2450935072,126.3805656649,pitch,gateball,예래전천후게이트볼장,제주특별자치도 서귀포시 하예로 19번길 67,+82 64 760 3632,2020-08-03
33.2768055898,126.6409080958,pitch,gateball,제주전지훈련센터 전천후게이트볼장,제주특별자치도 서귀포시 남원읍 신례로 96,+82 64 760 3665,2020-08-03
33.2509710239,126.5537156247,pitch,gateball,서귀포시전천후게이트볼장,제주특별자치도 서귀포시 서홍로 40,+82 64 763 0700,2020-08-03
33.2509055913,126.4323801123,sport_centre,swimming,서귀포국민체육센터,제주특별자치도 서귀포시 중문관광로 346,+82 64 739 0363,2020-08-03
33.2768055898,126.6409080958,sport_centre,multi,제주공천포전지훈련 센터다목적 체육관,제주특별자치도 서귀포시 남원읍 신례로 96,+82 64 760 3626,2020-08-03
33.2462197433,126.5092776992,sport_centre,multi,서귀포생활 체육문화체육센터,제주특별자치도 서귀포시 월드컵로 33,+82 64 760 3633,2020-08-03
33.2633581,126.2329451,sport_centre,multi,대정문화체육센터,제주특별자치도 서귀포시 대정읍 암반수마농로 419,+82 64 760 3651,2020-08-03
33.466758403,126.9048990496,sport_centre,multi,성산국민체육센터,제주특별자치도 서귀포시 성산읍 일주동로 4024,+82 64 784 2274,2020-08-03
33.2630296608,126.6170655457,sport_centre,multi,효돈생활체육관,제주특별자치도 서귀포시 하신상로 25,+82 64 760 3638,2020-08-03
33.256092992,126.328406532,sport_centre,multi,안덕생활체육관,제주특별자치도 서귀포시 안덕면 화순서서로 59,+82 64 760 4315,2020-08-03
33.2571765088,126.5635013958,sport_centre,multi,동홍생활체육관,제주특별자치도 서귀포시 중앙로 140,+82 64 760 3638,2020-08-03
33.2611802754,126.4995094064,sport_centre,multi,올림픽기념국민생활관,제주특별자치도 서귀포시 중산간서로 97,+82 64 760 3638,2020-08-03
33.3544931,126.8124756,sport_centre,multi,표선생활체육관,제주특별자치도 서귀포시 표선면 한마음초등로 399,+82 64 760 3657,2020-08-03
33.2779527,126.7022707,sport_centre,multi,남원생활체육관,제주특별자치도 서귀포시 태위로 551-27,+82 64 760 3652,2020-08-03
33.2443531629,126.3818112711,pitch,soccer,예래동축구공원,제주특별자치도 서귀포시 하예로19번길 53-12,+82 64 738 5230,2020-08-03
33.443552,126.911425,pitch,soccer,일출고성운동장,제주특별자치도 서귀포시 고성리 1035,+82 64 784 2274,2020-08-03
33.354264141,126.8143922654,pitch,soccer,표선인조잔디축구장,제주특별자치도 서귀포시 표선면 한마음초등로 399,+82 64 760 3657,2020-08-03
33.251537,126.516461,pitch,soccer,삼다체육공원 축구장,제주특별자치도 서귀포시 서호동 1602,,2020-08-03
33.2771222,126.6391669,pitch,soccer,제주공천포 전지훈련 센터인조 구장,제주특별자치도 서귀포시 신례로 96,+82 64 760 3665,2020-08-03
33.252465,126.490505,pitch,soccer,제주유나이티드전용구장,제주특별자치도 서귀포시 강정동 3355-3,+82 64 738 0934,2020-08-03
33.2583636513,126.6103677772,pitch,soccer,효돈축구공원,제주특별자치도 서귀포시 효돈순환로 311-29,+82 64 733 4783,2020-08-03
33.2496866,126.5518466,pitch,soccer,걸매축구장,제주특별자치도 서귀포시 서홍동 477-1,+82 64 760 3319,2020-08-03
33.2347698,126.4309971,pitch,soccer,중문단지축구장,제주특별자치도 서귀포시 대포동 2499,+82 64 738 3644,2020-08-03
33.2623431276,126.589529427,pitch,soccer,시민축구장,제주특별자치도 서귀포시 토평남로 47-13,+82 64 733 9126,2020-08-03
33.2462197433,126.5092776992,pitch,soccer,제주월드컵경기장,제주특별자치도 서귀포시 월드컵로 33,+82 64 760 3623,2020-08-03
33.260185,126.503858,pitch,baseball,서귀포생활야구장,제주특별자치도 서귀포시 강정동 1461,+82 64 739 4782,2020-08-03
33.2768055898,126.6409080958,pitch,baseball,제주공천포전지훈련센터야구장,제주특별자치도 서귀포시 남원읍 신례로 96,+82 64 760 3665,2020-08-03
33.259873,126.5017748636,pitch,baseball,서귀포야구장 (어린이),제주특별자치도 서귀포시 중산간서로 95,+82 64 739 4782,2020-08-03
33.259873,126.5017748636,pitch,baseball,서귀포야구장 (성인),제주특별자치도 서귀포시 중산간서로 95,+82 64 739 4782,2020-08-03
33.259873,126.5017748636,pitch,roller_skating,서귀포 인라인롤러장,제주특별자치도 서귀포시 중산간서로 95,+82 64 760 3626,2020-08-03
