위도,경도,name,addr:full,operator,phone,amenity,community_centre,community_centre:for,주요사업,source:date,addr:subdistrict,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.6056789549341,127.037951011966,성북구육아종합지원센터(월곡),,성북구도시관리공단,+82 2 918 8080,toy_library,family_centre,family,"장난감대여, 놀이체험장, 보육정보 제공, 부모교육, 육아지원 등",2020-04-01,월곡1동,,오패산로10길,19,,,,
37.5838715489933,127.019324336876,성북구육아종합지원센터·부모지원센터(보문),,성북구도시관리공단,+82 2 6959 8256,toy_library,family_centre,family,"장난감대여, 놀이체험장, 보육정보 제공, 부모교육, 육아지원 등",2020-04-01,보문동,,지봉로24길,26,,,,
37.6158919307514,127.045836154215,성북구장위행복누림부모지원센터,,성북구도시관리공단,+82 2 2241 0780~1,community_centre,family_centre,family,"시간제보육, 열린육아방, 보육정보 제공 등",2020-04-01,장위1동,,장위로21다길,53,,,,
37.5894562819309,127.01684955359,sb장난감도서관,"서울특별시 성북구 보문로 168, 성북구청 1층",성북구도시관리공단,+82 2 2241 4851~2,toy_library,,children,장난감대여,2020-01-01,삼선동,,보문로,168,,,1,
37.6047401646543,127.010582572163,성북아동청소년센터,,성북구청,+82 2 2241 2457,community_centre,youth_centre,juvenile,아동·청소년의 건전한 육성을 위한 사업 운영,2020-01-01,정릉2동,,정릉로,242,,,3,
37.6047401646543,127.010582572163,청소년 휴카페,,성북구청,+82 2 2241 2667,community_centre,youth_centre,juvenile,아동·청소년의 휴식 및 커뮤니티 공간,2020-01-01,정릉2동,,정릉로,242,,,1,
37.6047401646543,127.010582572163,성북구 드림스타트센터,,성북구청,+82 2 2241 2441~2,community_centre,youth_centre,juvenile,취약계층 아동 맞춤형 통합서비스 제공,2020-01-01,정릉2동,,정릉로,242,,,3,
37.6047401646543,127.010582572163,성북구청소년상담복지센터,,국민대학교,+82 2 3292 1779~90,community_centre,youth_centre,juvenile,청소년 상담지원,2020-01-01,정릉2동,,정릉로,242,,,4,
37.6047401646543,127.010582572163,성북구학교밖청소년지원센터(꿈드림),,국민대학교,+82 2 3292 1785,community_centre,youth_centre,juvenile,"학교밖청소년 지원(삼담, 학습, 자립, 정서지원 등)",2020-01-01,정릉2동,,정릉로,242,,,4,
37.5941452087888,127.020379370806,성북청소년문화공유센터,,성북구청,+82 2 2241 2273,community_centre,youth_centre,juvenile,청소년문화활동공간 지원,2020-03-26,동선동,,동소문로26다길,8-2,,,,
37.6175321959059,127.055837538328,시립성북청소년센터,,(사)한국청소년한마음연맹,+82 2 3292 1318,community_centre,youth_centre,juvenile,"청소년 교육,문화,체육,여가활동 지원",2020-01-01,장위3동,,,135-2,장위동,,,
37.6069919846253,127.034055038028,성북청소년미래지원센터,서울특별시 성북구 오패산로3길 87 성북청소년미래지원센터,성북구청,+82 2 2241 2400,community_centre,youth_centre,juvenile,"청소년학력지원, 자기주도학습, 진로직업체험",2020-01-01,월곡1동,,오패산로3길,87,,,,
37.5898389403686,127.005198631636,푸른마을,,성북구청,+82 2 744 0660,community_centre,youth_centre,juvenile,아동청소년 놀권리 거점공간(청소년놀터),2020-01-01,성북동,,성북로6길,8-1,,,,
37.6000979698047,127.031449958079,방과휴,,성북구청,+82 2 927 9885~7,community_centre,youth_centre,juvenile,아동청소년 놀권리 거점공간(청소년놀터),2020-01-01,종암동,,종암로25길,29,,,,
37.599152473795,127.034959305802,ㅁㅁ(미음미음),,성북구청,+82 2 927 9877~8,community_centre,youth_centre,juvenile,아동청소년 놀권리 거점공간(청소년놀터),2020-01-01,종암동,,종암로,98-7,,,,
37.6027969019909,127.016845087816,울:섬&쉼표,,성북구청,+82 2 927 9875~6,community_centre,youth_centre,juvenile,아동청소년 놀권리 거점공간(청소년놀터),2020-01-01,정릉1동,,정릉로,302,,,,
37.6161546218615,127.055376990905,잠시만 놀다가,,성북구청,+82 2 942 9870~1,community_centre,youth_centre,juvenile,아동청소년 놀권리 거점공간(청소년놀터),2020-01-01,장위3동,,장위로,179-1,,,,
37.5930552141643,127.019152563127,동행라온,,성북구청,+82 2 928 1122,community_centre,youth_centre,juvenile,아동청소년 놀권리 거점공간(청소년놀터),2020-01-01,동선동,,동소문로20나길,47,,,,
37.5866013303355,127.01603168441,성북도담,,성북구청,+82 2 927 9579~80,community_centre,youth_centre,juvenile,아동청소년 놀권리 거점공간(청소년놀터),2020-01-01,삼선동,,보문로29길,49,,,,
