위도,경도,지정년도,name,addr:full,phone,cuisine,주된음식,행정동,(재)지정,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.24629719,126.5235136,2019년,용궁에빠진닭,,-,한식,해신탕. 삼계탕,대륜동,지정(신규),2019-11-01,,이어도로,1059,,,,
33.25714808,126.5884534,2019년,흑한우명품관,,064-732-1486,한식,소고기모둠구이,영천동,재지정,2019-11-01,,일주동로,8421,,,,
33.2572426,126.5885177,2018년,흑한우명품관,,064-732-1486,한식,소고기모둠구이,영천동,재지정,2018-11-01,,일주동로,8421,,,,
33.24306886,126.567575,2019년,서귀포괸당네갈치요리,,064-7323-757,한식,갈치조림,송산동,지정(신규),2019-11-01,,칠십리로,123,,,,
33.24926177,126.5593202,2019년,관촌밀면,,064-732-5585,한식,밀면,천지동,재지정,2019-11-01,,서문로29번길,13,,,,
33.2492558,126.5594036,2018년,관촌밀면,,064-732-5585,한식,밀면,천지동,재지정,2018-11-01,,서문로29번길,13,,,,
33.24991206,126.5673657,2019년,다올터,,064-732-6161,한식,해장국,중앙동,재지정,2019-11-01,,동문동로,6,,,,
33.2498483,126.5674471,2018년,다올터,,064-732-6161,한식,해장국,중앙동,재지정,2018-11-01,,동문동로,6,,,,
33.25515409,126.5775009,2019년,까망돼지서귀포점,,064-732-6542,한식,흑돼지구이,영천동,재지정,2019-11-01,,일주동로,8524,,,,
33.2551463,126.5775949,2018년,까망돼지서귀포점,,064-732-6542,한식,흑돼지구이,영천동,재지정,2018-11-01,,일주동로,8524,,,,
33.24702464,126.574359,2019년,풍차맛집,,064-732-6999,한식,닭해물탕. 해물탕,동홍동,재지정,2019-11-01,,칠십리로,203,,,,
33.2469975,126.5745165,2018년,풍차맛집,,064-732-6999,한식,닭해물탕. 해물탕,동홍동,재지정,2018-11-01,,칠십리로,203,,,,
33.26031165,126.6147732,2019년,삼다해물뚝배기,,064-733-0591,한식,해물뚝배기,효돈동,재지정,2019-11-01,,일주동로,8167,,,,
33.260322,126.6148546,2018년,삼다해물뚝배기,,064-733-0591,한식,해물뚝배기,효돈동,재지정,2018-11-01,,일주동로,8167,,,,
33.25086081,126.5245817,2019년,한가네흑돼지.해물전골전문,,064-733-1188,한식,흑돼지구이,대륜동,재지정,2019-11-01,,서호호근로,42,,,,
33.2616977,126.5217426,2018년,한가네흑돼지.해물전골전문,,064-733-1188,한식,흑돼지구이,대륜동,재지정,2018-11-01,,서호호근로,42,,,,
33.25933114,126.556192,2019년,오븐에빠진닭서홍점,,064-733-1199,한식,탕. 통닭,서홍동,지정(신규),2019-11-01,,홍중로,76-3,,,,
33.24555179,126.5610171,2019년,금바우,,064-733-1517,한식,흑돼지구이. 갈비탕,정방동,재지정,2019-11-01,,태평로371번길,4,,,,
33.2455741,126.5611539,2018년,금바우,,064-733-1517,한식,흑돼지구이. 갈비탕,정방동,재지정,2018-11-01,,태평로371번길,4,,,,
33.25039939,126.5727132,2019년,서귀포왕돌판구이,,064-733-1777,한식,항정살. 삼겹살구이,동홍동,재지정,2019-11-01,,태평로512번길,1-4,,,,
33.2505549,126.5727622,2018년,서귀포왕돌판구이,,064-733-1777,한식,항정살. 삼겹살구이,동홍동,재지정,2018-11-01,,태평로512번길,1-4,,,,
33.25432998,126.5695042,2019년,금강민물장어,,064-733-2119,한식,민물장어구이,동홍동,재지정,2019-11-01,,일주동로,8597,,,,
33.2542918,126.5695218,2018년,금강민물장어,,064-733-2119,한식,민물장어구이,동홍동,재지정,2018-11-01,,일주동로,8597,,,,
33.25665773,126.5711762,2019년,김명자굴국밥서귀포점,,064-733-3060,한식,굴해장국,동홍동,지정(신규),2019-11-01,,동홍남로,28,,,,
33.24050344,126.5647018,2019년,김영희동태탕&코다리냉면서귀포점,,064-733-4888,한식,동태탕. 코다리냉면,송산동,재지정,2019-11-01,,부두로,49,,,,
33.2405659,126.564767,2018년,김영희동태탕&코다리냉면서귀포점,,064-733-4888,한식,동태탕. 코다리냉면,송산동,재지정,2018-11-01,,부두로,49,,,,
33.25393131,126.5614089,2019년,풍천연가풍천장어참숯구이,,064-733-5222,한식,장어구이. 장어덮밥,동홍동,재지정,2019-11-01,,중앙로,104,,,,
33.2539954,126.5614859,2018년,풍천연가풍천장어참숯구이,,064-733-5222,한식,장어구이. 장어덮밥,동홍동,지정(신규),2018-11-01,,중앙로,104,,,,
33.26810614,126.5878888,2019년,약촌삼계탕,,064-733-5377,한식,삼계탕,영천동,재지정,2019-11-01,,중산간동로,7750,,,,
33.268092,126.5879128,2018년,약촌삼계탕,,064-733-5377,한식,삼계탕,영천동,재지정,2018-11-01,,중산간동로,7750,,,,
33.26472944,126.5593314,2019년,황실가든,,064-733-7330,한식,흑돼지구이. 쌈밥,서홍동,재지정,2019-11-01,,중산간동로,8024,,,,
33.2635209,126.5586145,2018년,황실가든,,064-733-7330,한식,흑돼지구이.쌈밥,서홍동,재지정,2018-11-01,,중앙로,213,,,,
33.2486867,126.5596146,2018년,도새기먹는날,,064-733-7587,한식,흑돼지구이,천지동,재지정,2018-11-01,,서문로41번길,16,,,,
33.24371443,126.568378,2019년,새만부정,,064-733-7750,한식,복어요리,송산동,재지정,2019-11-01,,칠십리로,135,,,,
33.2437362,126.5684642,2018년,새만부정,,064-733-7750,한식,복어요리,송산동,재지정,2018-11-01,,칠십리로,135,,,,
33.24785478,126.5594488,2019년,천지한우촌식육식당,,064-733-9289,한식,한우구이,천지동,재지정,2019-11-01,,서문로29번길,28,,,,
33.2478572,126.5595338,2018년,천지한우촌식육식당,,064-733-9289,한식,한우구이,천지동,재지정,2018-11-01,,서문로29번길,28,,,,
33.24881193,126.5595194,2019년,우리집흑돼지,,064-733-9610,한식,흑돼지구이,천지동,재지정,2019-11-01,,서문로41번길,16,,,,
33.25926782,126.4138688,2019년,삼원정본점,,064-738-1077,한식,갈치조림,예래동,지정(신규),2019-11-01,,색달중앙로,44,,,,
33.259316,126.4138556,2018년,삼원정본점,,064-738-1077,한식,갈치조림,예래동,지정(신규),2018-11-01,,색달중앙로,44,,,,
33.25770843,126.4081866,2019년,덤장중문점,,064-738-2550,한식,갈치조림. 고등어조림,예래동,재지정,2019-11-01,,천제연로,17,,,,
33.2576625,126.4082795,2018년,덤장중문점,,064-738-2550,한식,갈치조림. 고등어조림,예래동,재지정,2018-11-01,,천제연로,17,,,,
33.25192959,126.4265282,2019년,해심갈비,,064-738-2820,한식,흑돼지구이. 양념갈비,중문동,재지정,2019-11-01,,천제연로,203-4,,,,
