위도,경도,amenity,cuisine,name,addr:full,phone,opening_date,source,source:date
35.20343592,129.1012641,restaurant,korean; seafood,구기영 조방낙지,부산광역시 동래구 명장로20번길 60 (명장동),051-528-7055,2003-05-31,공공데이터포털,2020-02-03
35.22187376,129.0817854,restaurant,chinese,금문,부산광역시 동래구 온천장로119번길 57 (온천동),051-555-4987,2012-11-06,공공데이터포털,2020-02-03
35.21058095,129.0745404,restaurant,chinese,희래등,부산광역시 동래구 중앙대로1367번길 70-6 (온천동),051-555-8817,2015-10-29,공공데이터포털,2020-02-03
35.22054374,129.0833495,restaurant,seafood; blowfish,금수복국,부산광역시 동래구 온천장로107번길 18 (온천동),051-555-9912,2007-06-13,공공데이터포털,2020-02-03
35.20210338,129.0821268,restaurant,seafood; blowfish,금수복국(동래점),부산광역시 동래구 충렬대로 210 (수안동),051-553-7700,2007-06-13,공공데이터포털,2020-02-03
35.20648814,129.0796591,restaurant,korean; seafood,논두렁추어탕,부산광역시 동래구 명륜로139번길 42-5 (명륜동),051-553-5769,2012-11-06,공공데이터포털,2020-02-03
35.2050824,129.0846484,restaurant,korean,대궐집,부산광역시 동래구 동래로136번길 26 (복천동),051-552-0127,2002-05-30,공공데이터포털,2020-02-03
35.20319909,129.0653171,restaurant,korean; seafood,대하찹쌀아구찜,부산광역시 동래구 사직북로28번길 145 (온천동),051-505-8862,2007-06-13,공공데이터포털,2020-02-03
35.22125348,129.0856217,restaurant,international,더파티허브(THE PARTY HUB),부산광역시 동래구 중앙대로 1523 (온천동),051-557-7711,2011-04-25,공공데이터포털,2020-02-03
35.22084165,129.0792673,restaurant,korean,동래별장,부산광역시 동래구 금강로123번길 12 (온천동),051-552-0157,2005-06-22,공공데이터포털,2020-02-03
35.20526177,129.0847496,restaurant,korean,동래삼계탕,부산광역시 동래구 동래로116번길 39 (복천동),051-555-2464,2003-05-31,공공데이터포털,2020-02-03
35.20284397,129.0829713,restaurant,korean,동래순두부,부산광역시 동래구 명륜로103번길 3 (명륜동),051-555-0820,2016-10-31,공공데이터포털,2020-02-03
35.2022203,129.0791304,restaurant,chinese,동보성,부산광역시 동래구 온천천로 193 (명륜동),051-552-8418,2007-06-13,공공데이터포털,2020-02-03
35.20121778,129.0712432,restaurant,korean; seafood,두꺼비바다장어구이,"부산광역시 동래구 여고북로 113, 1,2층 (온천동)",051-506-0052,2016-10-31,공공데이터포털,2020-02-03
35.2102669,129.075393,restaurant,korean,마루한,부산광역시 동래구 중앙대로1367번길 48-5 (온천동),051-553-3070,2012-11-06,공공데이터포털,2020-02-03
35.20241659,129.0843933,restaurant,korean,만점식당,부산광역시 동래구 명륜로98번길 18 (수안동),051-558-2240,2002-05-30,공공데이터포털,2020-02-03
35.1968981,129.0591951,restaurant,korean,맛나감자탕사직점,부산광역시 동래구 사직북로13번길 26 (사직동),051-503-3630,2013-11-01,공공데이터포털,2020-02-03
35.20088889,129.0828684,restaurant,korean,명가,부산광역시 동래구 충렬대로218번길 26 (수안동),051-553-5989,2003-05-31,공공데이터포털,2020-02-03
35.19662098,129.0599602,restaurant,korean; seafood,명진생아구찜,부산광역시 동래구 사직북로13번길 13-3 (사직동),051-504-4445,2009-03-25,공공데이터포털,2020-02-03
