위도,경도,amenity,name,addr:full,phone,cuisine,source,source:date,addr:subdistrict,addr:district,addr:street,addr:housenumber,addr:unit,level,addr:door
33.24629719,126.5235136,restaurant,용궁에빠진닭,,,korean,공공데이터포털,2019-11-01,대륜동,,이어도로,1059,,,
33.25714808,126.5884534,restaurant,흑한우명품관,,+82 64 732 1486,korean,공공데이터포털,2019-11-01,영천동,,일주동로,8421,,,
33.2572426,126.5885177,restaurant,흑한우명품관,,+82 64 732 1486,korean,공공데이터포털,2018-11-01,영천동,,일주동로,8421,,,
33.24306886,126.567575,restaurant,서귀포괸당네갈치요리,,+82 64 7323 757,korean,공공데이터포털,2019-11-01,송산동,,칠십리로,123,,,
33.24926177,126.5593202,restaurant,관촌밀면,,+82 64 732 5585,korean,공공데이터포털,2019-11-01,천지동,,서문로29번길,13,,,
33.2492558,126.5594036,restaurant,관촌밀면,,+82 64 732 5585,korean,공공데이터포털,2018-11-01,천지동,,서문로29번길,13,,,
33.24991206,126.5673657,restaurant,다올터,,+82 64 732 6161,korean,공공데이터포털,2019-11-01,중앙동,,동문동로,6,,,
33.2498483,126.5674471,restaurant,다올터,,+82 64 732 6161,korean,공공데이터포털,2018-11-01,중앙동,,동문동로,6,,,
33.25515409,126.5775009,restaurant,까망돼지서귀포점,,+82 64 732 6542,korean,공공데이터포털,2019-11-01,영천동,,일주동로,8524,,,
33.2551463,126.5775949,restaurant,까망돼지서귀포점,,+82 64 732 6542,korean,공공데이터포털,2018-11-01,영천동,,일주동로,8524,,,
33.24702464,126.574359,restaurant,풍차맛집,,+82 64 732 6999,korean,공공데이터포털,2019-11-01,동홍동,,칠십리로,203,,,
33.2469975,126.5745165,restaurant,풍차맛집,,+82 64 732 6999,korean,공공데이터포털,2018-11-01,동홍동,,칠십리로,203,,,
33.26031165,126.6147732,restaurant,삼다해물뚝배기,,+82 64 733 0591,korean,공공데이터포털,2019-11-01,효돈동,,일주동로,8167,,,
33.260322,126.6148546,restaurant,삼다해물뚝배기,,+82 64 733 0591,korean,공공데이터포털,2018-11-01,효돈동,,일주동로,8167,,,
33.25086081,126.5245817,restaurant,한가네흑돼지.해물전골전문,,+82 64 733 1188,korean,공공데이터포털,2019-11-01,대륜동,,서호호근로,42,,,
33.2616977,126.5217426,restaurant,한가네흑돼지.해물전골전문,,+82 64 733 1188,korean,공공데이터포털,2018-11-01,대륜동,,서호호근로,42,,,
33.25933114,126.556192,restaurant,오븐에빠진닭서홍점,,+82 64 733 1199,korean,공공데이터포털,2019-11-01,서홍동,,홍중로,76-3,,,
33.24555179,126.5610171,restaurant,금바우,,+82 64 733 1517,korean,공공데이터포털,2019-11-01,정방동,,태평로371번길,4,,,
33.2455741,126.5611539,restaurant,금바우,,+82 64 733 1517,korean,공공데이터포털,2018-11-01,정방동,,태평로371번길,4,,,
33.25039939,126.5727132,restaurant,서귀포왕돌판구이,,+82 64 733 1777,korean,공공데이터포털,2019-11-01,동홍동,,태평로512번길,1-4,,,
33.2505549,126.5727622,restaurant,서귀포왕돌판구이,,+82 64 733 1777,korean,공공데이터포털,2018-11-01,동홍동,,태평로512번길,1-4,,,
33.25432998,126.5695042,restaurant,금강민물장어,,+82 64 733 2119,korean,공공데이터포털,2019-11-01,동홍동,,일주동로,8597,,,
33.2542918,126.5695218,restaurant,금강민물장어,,+82 64 733 2119,korean,공공데이터포털,2018-11-01,동홍동,,일주동로,8597,,,
33.25665773,126.5711762,restaurant,김명자굴국밥서귀포점,,+82 64 733 3060,korean,공공데이터포털,2019-11-01,동홍동,,동홍남로,28,,,
33.24050344,126.5647018,restaurant,김영희동태탕&코다리냉면서귀포점,,+82 64 733 4888,korean,공공데이터포털,2019-11-01,송산동,,부두로,49,,,
33.2405659,126.564767,restaurant,김영희동태탕&코다리냉면서귀포점,,+82 64 733 4888,korean,공공데이터포털,2018-11-01,송산동,,부두로,49,,,
33.25393131,126.5614089,restaurant,풍천연가풍천장어참숯구이,,+82 64 733 5222,korean,공공데이터포털,2019-11-01,동홍동,,중앙로,104,,,
33.2539954,126.5614859,restaurant,풍천연가풍천장어참숯구이,,+82 64 733 5222,korean,공공데이터포털,2018-11-01,동홍동,,중앙로,104,,,
33.26810614,126.5878888,restaurant,약촌삼계탕,,+82 64 733 5377,korean,공공데이터포털,2019-11-01,영천동,,중산간동로,7750,,,
33.268092,126.5879128,restaurant,약촌삼계탕,,+82 64 733 5377,korean,공공데이터포털,2018-11-01,영천동,,중산간동로,7750,,,
33.26472944,126.5593314,restaurant,황실가든,,+82 64 733 7330,korean,공공데이터포털,2019-11-01,서홍동,,중산간동로,8024,,,
33.2635209,126.5586145,restaurant,황실가든,,+82 64 733 7330,korean,공공데이터포털,2018-11-01,서홍동,,중앙로,213,,,
33.2486867,126.5596146,restaurant,도새기먹는날,,+82 64 733 7587,korean,공공데이터포털,2018-11-01,천지동,,서문로41번길,16,,,
33.24371443,126.568378,restaurant,새만부정,,+82 64 733 7750,korean,공공데이터포털,2019-11-01,송산동,,칠십리로,135,,,
33.2437362,126.5684642,restaurant,새만부정,,+82 64 733 7750,korean,공공데이터포털,2018-11-01,송산동,,칠십리로,135,,,
33.24785478,126.5594488,restaurant,천지한우촌식육식당,,+82 64 733 9289,korean,공공데이터포털,2019-11-01,천지동,,서문로29번길,28,,,
33.2478572,126.5595338,restaurant,천지한우촌식육식당,,+82 64 733 9289,korean,공공데이터포털,2018-11-01,천지동,,서문로29번길,28,,,
33.24881193,126.5595194,restaurant,우리집흑돼지,,+82 64 733 9610,korean,공공데이터포털,2019-11-01,천지동,,서문로41번길,16,,,
33.25926782,126.4138688,restaurant,삼원정본점,,+82 64 738 1077,korean,공공데이터포털,2019-11-01,예래동,,색달중앙로,44,,,
33.259316,126.4138556,restaurant,삼원정본점,,+82 64 738 1077,korean,공공데이터포털,2018-11-01,예래동,,색달중앙로,44,,,
33.25770843,126.4081866,restaurant,덤장중문점,,+82 64 738 2550,korean,공공데이터포털,2019-11-01,예래동,,천제연로,17,,,
33.2576625,126.4082795,restaurant,덤장중문점,,+82 64 738 2550,korean,공공데이터포털,2018-11-01,예래동,,천제연로,17,,,
33.25192959,126.4265282,restaurant,해심갈비,,+82 64 738 2820,korean,공공데이터포털,2019-11-01,중문동,,천제연로,203-4,,,
33.2519011,126.4266075,restaurant,해심갈비,,+82 64 738 2820,korean,공공데이터포털,2018-11-01,중문동,,천제연로,203-4,,,
33.24304205,126.505137,restaurant,월드컵흑돼지,,+82 64 738 3292,korean,공공데이터포털,2019-11-01,대륜동,,월드컵로,74,,,
33.2430676,126.5051929,restaurant,월드컵흑돼지,,+82 64 738 3292,korean,공공데이터포털,2018-11-01,대륜동,,월드컵로,74,,,
33.25838929,126.4070802,restaurant,목포고을본점,,+82 64 738 5551,korean,공공데이터포털,2019-11-01,예래동,,일주서로,968-5,,,
33.2584159,126.4071294,restaurant,목포고을본점,,+82 64 738 5551,korean,공공데이터포털,2018-11-01,예래동,,일주서로,968-5,,,
33.26677492,126.3946812,restaurant,쉬는팡,,+82 64 738 5833,korean,공공데이터포털,2019-11-01,예래동,,상예로,244,,,
33.2777041,126.3953828,restaurant,쉬는팡,,+82 64 738 5833,korean,공공데이터포털,2018-11-01,예래동,,상예로,244,,,
33.25512536,126.4165219,restaurant,흑돼지구이집하영,,+82 64 738 6011,korean,공공데이터포털,2019-11-01,예래동,,천제연로,101,,,
33.2550941,126.4166328,restaurant,흑돼지구이집하영,,+82 64 738 6011,korean,공공데이터포털,2018-11-01,예래동,,천제연로,101,,,
33.24407311,126.5363638,restaurant,서귀포흑돼지명가,,+82 64 738 6939,korean,공공데이터포털,2019-11-01,대륜동,,태평로,122,,,
33.2440549,126.5364328,restaurant,서귀포흑돼지명가,,+82 64 738 6939,korean,공공데이터포털,2018-11-01,대륜동,,태평로,122,,,
33.25029466,126.433154,restaurant,오르막가든,,+82 64 738 7755,korean,공공데이터포털,2019-11-01,중문동,,대포중앙로,12,,,
33.2501584,126.4332518,restaurant,오르막가든,,+82 64 738 7755,korean,공공데이터포털,2018-11-01,중문동,,대포중앙로,12,,,
33.24969846,126.4115565,restaurant,신우성흑돼지,,+82 64 738 7830,korean,공공데이터포털,2019-11-01,예래동,,중문관광로72번길,29-9,,,
33.25460932,126.4181873,restaurant,착한전복,,+82 64 738 8455,korean,공공데이터포털,2019-11-01,예래동,,천제연로,119,,,
33.254619,126.4182628,restaurant,착한전복,,+82 64 738 8455,korean,공공데이터포털,2018-11-01,예래동,,천제연로,119,,,
