위도,경도,amenity,name,cuisine,addr:full,phone,source,source:date
35.630153,127.8118741,restaurant,안의원조갈비집,korean,경상남도 함양군 안의면 강변로 317,055-962-4333,공공데이터포털,2020-06-17
35.5292622,127.7313986,restaurant,안의갈비탕,korean,경상남도 함양군 함양읍 함양로 1243,055-963-8700,공공데이터포털,2020-06-17
35.517497,127.726443,restaurant,갑을식당,korean,경상남도 함양군 함양읍 함양로 1106,055-962-3540,공공데이터포털,2020-06-17
35.5185725,127.7252678,restaurant,대웅,korean,경상남도 함양군 함양읍 학사루3길 18-1,055-963-7352,공공데이터포털,2020-06-17
35.5440543,127.780135,restaurant,쌈촌구이&샤브,korean,경상남도 함양군 수동면 거함대로621,055-963-5536,공공데이터포털,2020-06-17
35.5212766,127.719791,restaurant,수동메기메운탕,korean,경상남도 함양군 함양읍 서위천길 29,055-963-6674,공공데이터포털,2020-06-17
35.520049,127.7293025,restaurant,상림숯불갈비,korean,경상남도 함양군 함양읍 용평1길 9,055-964-2208,공공데이터포털,2020-06-17
35.5180499,127.7285595,restaurant,샤브향함양점,korean,경상남도 함양군 함양읍 중앙시장길 2-16,055-962-2283,공공데이터포털,2020-06-17
35.5195463,127.7286085,restaurant,청정해역,fish,경상남도 함양군 함양읍 용평길 12-4,055-963-8120,공공데이터포털,2020-06-17
35.4862584,127.6951036,restaurant,청해수산,fish,경상남도 함양군 함양읍 함양로 619-6,055-962-4281,공공데이터포털,2020-06-17
35.5210818,127.7279969,restaurant,청학산,korean,경상남도 함양군 함양읍 함양로 1148,055-962-1707,공공데이터포털,2020-06-17
35.5241869,127.7239564,restaurant,신화루,chinese,경상남도 함양군 함양읍 필봉산길 65,055-962-6996,공공데이터포털,2020-06-17
35.5202291,127.7304078,restaurant,노가면옥,korean,경상남도 함양군 함양읍 용평길 31-3,055-963-8277,공공데이터포털,2020-06-17
35.5199229,127.7281177,restaurant,1004 화로구이,korean,경상남도 함양군 함양읍 용평길11-11,055-963-3844,공공데이터포털,2020-06-17
35.5231739,127.7224549,restaurant,바우석쇠,korean,경상남도 함양군 함양읍 상림3길 6,055-964-6633,공공데이터포털,2020-06-17
35.5298857,127.7324948,restaurant,연밭식육식당,korean,경상남도 함양군 함양읍 함양로 1257,055-964-6262,공공데이터포털,2020-06-17
35.6224546,127.7834896,restaurant,늘봄가든,korean,경상남도 함양군 안의면 육십령로 3102,055-962-4945,공공데이터포털,2020-06-17
35.5201243,127.7287223,restaurant,도야낙지,korean,경상남도 함양군 함양읍 용평1길 8-5,055-963-4450,공공데이터포털,2020-06-17
35.5223468,127.7202967,restaurant,삼순이네 돌판아구찜 복어요리,korean,경상남도 함양군 함양읍 동위천1길 5,055-963-8149,공공데이터포털,2020-06-17
35.5318854,127.7351248,restaurant,닭이봉,korean,경상남도 함양군 함양읍 뇌계길 6,055-964-0622,공공데이터포털,2020-06-17
35.5242863,127.7232846,restaurant,함양산청축협한우프라자,korean,경상남도 함양군 함양읍 필봉산길 63,055-963-2607,공공데이터포털,2020-06-17
35.680418,127.6883073,restaurant,예다믄,korean,경상남도 함양군 서상면 칠형정뒷길 6,055-964-3009,공공데이터포털,2020-06-17
35.5189491,127.7280085,restaurant,농월초계탕,korean,경상남도 함양군 함양읍 용평중앙길 11-2,055-963-2154,공공데이터포털,2020-06-17
35.6267542,127.8103044,restaurant,해원복국,korean,경상남도 함양군 안의면 광풍로 107,055-964-8041,공공데이터포털,2020-06-17
35.628374,127.811372,restaurant,화림골,korean,경상남도 함양군 안의면 광풍로 127-2,055-962-0666,공공데이터포털,2020-06-17
