위도,경도,name,addr:full,phone,source:date,shop,second_hand
33.2503686,126.4965808,굿모닝자동차매매상사,제주특별자치도 서귀포시 일주서로 106(강정동),064-739-1004,2020-05-31,car,only
33.2503686,126.4965808,삼일자동차매매상사,제주특별자치도 서귀포시 일주서로 106(강정동),064-738-7131,2020-05-31,car,only
33.2503686,126.4965808,신동아자동차매매상사,제주특별자치도 서귀포시 일주서로 106(강정동),064-739-9983,2020-05-31,car,only
33.2503686,126.4965808,신용자동차매매상사,제주특별자치도 서귀포시 일주서로 106(강정동),064-739-3399,2020-05-31,car,only
33.2504896,126.4972655,우성자동차매매상사,제주특별자치도 서귀포시 일주서로 102(강정동),064-739-1600,2020-05-31,car,only
33.2503686,126.4965808,월드자동차매매상사,제주특별자치도 서귀포시 일주서로 106(강정동),064-739-2222,2020-05-31,car,only
33.2504896,126.4972655,제주모터스,제주특별자치도 서귀포시 일주서로 102(강정동),064-739-8945,2020-05-31,car,only
33.2835671,126.7051642,제주자동차매매상사,제주특별자치도 서귀포시 남원읍 일주동로7150,064-764-8289,2020-05-31,car,only
33.2580453,126.586717,주영중고차매매상사,제주특별자치도 서귀포시 검은여로 190(토평동),064-732-9990,2020-05-31,car,only
33.2504896,126.4972655,혁신자동차매매상사,제주특별자치도 서귀포시 일주서로 102(강정동),064-739-5568,2020-05-31,car,only
33.264154,126.6160501,효돈자동차매매상사,제주특별자치도 서귀포시 효돈로 57(신효동),070-4230-1904,2020-05-31,car,only
