위도,경도,amenity,operator:type,name,addr:full,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.6136311475404,127.016659970388,school,public,서울길음초등학교,"서울특별시 성북구 길음로 142 (길음동,서울길음초등학교)",02-918-9983,2020-01-01,,길음로,142,,,,
37.5937465608465,127.01310358283,school,public,서울돈암초등학교,"서울특별시 성북구 동소문로13길 38 (동소문동6가, 서울돈암초등학교)",02-928-2010,2020-01-01,,동소문로13길,38,,,,
37.5832878743837,127.017057951549,school,public,서울동신초등학교,"서울특별시 성북구 보문사길 50 (보문동3가, 서울동신초등학교)",02-923-3870,2020-01-01,,보문사길,50,,,,
37.6105876087904,127.021644405392,school,public,서울미아초등학교,서울특별시 성북구 삼양로 77 (길음동. 서울미아초등학교),02-912-4014,2020-01-01,,삼양로,77,,,,
37.5871415236472,127.012671844176,school,public,서울삼선초등학교,"서울특별시 성북구 보문로29길 106 (삼선동3가, 서울삼선초등학교)",02-742-1847,2020-01-01,,보문로29길,106,,,,
37.6110220564376,127.058355255147,school,public,서울석관초등학교,"서울특별시 성북구 돌곶이로22길 21 (석관동, 서울석관초등학교)",02-959-1391,2020-01-01,,돌곶이로22길,21,,,,
37.5940538893567,126.99877539809,school,public,서울성북초등학교,"서울특별시 성북구 성북로 102-10 (성북동, 서울성북초등학교)",02-764-5987,2020-01-01,,성북로,102-10,,,,
37.6084328380922,127.032815115145,school,public,서울숭곡초등학교,"서울특별시 성북구 종암로40길 30 (하월곡동, 서울숭곡초등학교)",02-912-5846,2020-01-01,,종암로40길,30,,,,
37.603819799563,127.013290960705,school,public,서울숭덕초등학교,"서울특별시 성북구 정릉로 279 (정릉동, 서울숭덕초등학교)",02-911-1761,2020-01-01,,정릉로,279,,,,
37.594521188017,127.035297176327,school,public,서울숭례초등학교,"서울특별시 성북구 종암로5길 14 (종암동, 서울숭례초등학교)",02-927-5611,2020-01-01,,종암로5길,14,,,,
37.6091601974333,127.038234105412,school,public,서울숭인초등학교,"서울특별시 성북구 오패산로16길 37 (하월곡동, 서울숭인초등학교)",070-7126-8094,2020-01-01,,오패산로16길,37,,,,
37.5871586956296,127.022098883314,school,public,서울안암초등학교,"서울특별시 성북구 고려대로7가길 39(안암동2가, 서울안암초등학교)",02-926-4426,2020-01-01,,고려대로7가길,39,,,,
37.6100244163153,127.046081036716,school,public,서울월곡초등학교,"서울특별시 성북구 장월로3길 42 (장위동, 서울월곡초등학교)",02-941-1761,2020-01-01,,장월로3길,42,,,,
37.6168313686428,127.048155179219,school,public,서울장곡초등학교,"서울특별시 성북구 장월로23길 16 (장위동, 서울장곡초등학교)",02-918-8494,2020-01-01,,장월로23길,16,,,,
37.6114425067997,127.050006419755,school,public,서울장위초등학교,서울특별시 성북구 장월로8가길 41 (장위동.서울장위초등학교),02-942-1772,2020-01-01,,장월로8가길,41,,,,
37.5982399496277,127.013421324355,school,public,서울정덕초등학교,"서울특별시 성북구 아리랑로 63 (동소문동7가, 서울정덕초등학교)",02-928-0422,2020-01-01,,아리랑로,63,,,,
37.6197960474133,127.005256106258,school,public,서울정릉초등학교,"서울특별시 성북구 솔샘로25가길 8 (정릉동, 서울정릉초등학교)",02-916-2590,2020-01-01,,솔샘로25가길,8,,,,
37.6037748856219,127.007718883621,school,public,서울정수초등학교,"서울특별시 성북구 정릉로24길 58 (정릉동, 서울정수초등학교)",02-916-0051,2020-01-01,,정릉로24길,58,,,,
37.6120328876191,127.000333434653,school,public,서울청덕초등학교,"서울특별시 성북구 정릉로9라길 11 (정릉동, 서울청덕초등학교)",02-914-8740,2020-01-01,,정릉로9라길,11,,,,
37.5988135716924,127.040178106531,school,public,서울일신초등학교,"서울특별시 성북구 월곡로 74 (종암동, 서울일신초등학교)",02-909-2893,2020-01-01,,월곡로,74,,,,
37.6018390170422,127.027596218779,school,public,서울개운초등학교,"서울특별시 성북구 정릉로48길 52 (돈암동, 서울개운초등학교)",02-925-8838,2020-01-01,,정릉로48길,52,,,,
37.6088136847633,127.069732061242,school,public,서울석계초등학교,"서울특별시 성북구 한천로58길 273 (석관동, 서울석계초등학교)",02-964-9578,2020-01-01,,한천로58길,273,,,,
37.6090646447836,127.01679961391,school,public,서울길원초등학교,"서울특별시 성북구 길음로15길 55 (길음동, 서울길원초등학교)",02-914-9369,2020-01-01,,길음로15길,55,,,,
37.6219410867384,127.047173330347,school,public,서울장월초등학교,"서울특별시 성북구 한천로101길 66 (장위동, 서울장월초등학교)",02-918-7822,2020-01-01,,한천로101길,66,,,,
37.61891151481,127.055270863243,school,private,광운초등학교,,02-915-7312,2020-01-01,,,128,장위동,,,
37.5791510372431,127.023445857158,school,private,대광초등학교,"서울특별시 성북구 안암로 5 (보문동7가, 대광초등학교)",02-923-2032,2020-01-01,,안암로,5,,,,
37.5976746822279,127.019186925653,school,private,매원초등학교,"서울특별시 성북구 북악산로 870 (돈암동, 매원초등학교)",02-922-6052,2020-01-01,,북악산로,870,,,,
37.5946231286898,127.023128450419,school,private,성신초등학교,"서울특별시 성북구 북악산로 918 (돈암동, 성신초등학교)",02-921-1813,2020-01-01,,북악산로,918,,,,
37.5956408923336,127.011400646113,school,private,우촌초등학교,"서울특별시 성북구 성북로4길 52-1 (돈암동, 우촌초등학교)",02-929-1671,2020-01-01,,성북로4길,52-1,,,,
37.5958204696388,127.039133268006,school,government,서울대학교사범대학부설중학교,"서울특별시 성북구 월곡로 36 (종암동, 서울대학교사범대학부설중학교)",02-943-5812,2020-01-01,,월곡로,36,,,,
37.6070090504822,127.001609529397,school,public,북악중학교,"서울특별시 성북구 정릉로12길 41 (정릉동, 북악중학교)",02-910-2311,2020-01-01,,정릉로12길,41,,,,
37.5917476345244,127.007871631766,school,public,삼선중학교,"서울특별시 성북구 동소문로3길 69 (동소문동4가, 삼선중학교)",02-742-1147,2020-01-01,,동소문로3길,69,,,,
37.6081401384291,127.066713123271,school,public,석관중학교,"서울특별시 성북구 한천로 526 (석관동, 석관중학교)",070-5066-3114,2020-01-01,,한천로,526,,,,
37.6069816253061,127.048258795639,school,public,월곡중학교,"서울특별시 성북구 장월로 6 (상월곡동, 월곡중학교)",02-6496-6600,2020-01-01,,장월로,6,,,,
37.6112925060526,127.040841148566,school,public,장위중학교,"서울특별시 성북구 장위로4길 70 (장위동, 장위중학교)",02-941-1672,2020-01-01,,장위로4길,70,,,,
37.5931109970838,127.031991315899,school,public,종암중학교,"서울특별시 성북구 종암로5길 80-17 (종암동, 종암중학교)",02-928-7041,2020-01-01,,종암로5길,80-17,,,,
37.5946266547149,127.024842114657,school,public,개운중학교,"서울특별시 성북구 북악산로 935 (돈암동, 개운중학교)",02-3291-5492,2020-01-01,,북악산로,935,,,,
37.6084784793818,127.031299801245,school,public,숭곡중학교,"서울특별시 성북구 종암로 208 (하월곡동, 숭곡중학교)",02-912-7571,2020-01-01,,종암로,208,,,,
37.6140903565522,127.017455739594,school,public,길음중학교,"서울특별시 성북구 길음로 144 (길음동, 길음중학교)",02-910-8770,2020-01-01,,길음로,144,,,,
37.607838568731,127.002830184796,school,private,고려대학교사범대학부속중학교,"서울특별시 성북구 정릉로 161 (정릉동, 고려대학교사범대학부속중학교)",02-914-3368,2020-01-01,,정릉로,161,,,,
37.5976746822279,127.019186925653,school,private,고명중학교,서울특별시 성북구 북악산로 870 (돈암동.고명중학교),02-926-2837,2020-01-01,,북악산로,870,,,,
37.618389967923,127.055961302855,school,private,남대문중학교,,02-942-3184,2020-01-01,,,124-1,장위동,,,
37.5886903262008,127.024660795253,school,private,용문중학교,"서울특별시 성북구 고려대로17가길 46 (안암동2가, 용문중고등학교)",02-926-4238,2020-01-01,,고려대로17가길,46,,,,
37.5936666161184,127.002804963597,school,private,홍익대학교사범대학부속중학교,"서울특별시 성북구 성북로14가길 23 (성북동, 홍익대학교부속중고등학교)",02-762-0824,2020-01-01,,성북로14가길,23,,,,
37.5941058673244,127.008215312445,school,private,동구여자중학교,"서울특별시 성북구 성북로8길 71 (성북동, 동구여자중학교)",02-762-1304,2020-01-01,,성북로8길,71,,,,
37.5946231286898,127.023128450419,school,private,성신여자중학교,"서울특별시 성북구 북악산로 918 (돈암동, 성신여자중학교)",02-3290-7819,2020-01-01,,북악산로,918,,,,
37.5819996035219,127.011312749775,school,private,한성여자중학교,"서울특별시 성북구 삼선교로16길 118 (삼선동2가, 한성여자중학교)",02-745-8110,2020-01-01,,삼선교로16길,118,,,,
37.594723843967,127.038120392429,school,government,서울대학교사범대학부설고등학교,"서울특별시 성북구 월곡로 6 (종암동, 서울대학교사범대학부설고등학교)",02-913-7306,2020-01-01,,월곡로,6,,,,
37.5866013303355,127.01603168441,school,public,경동고등학교,서울특별시 성북구 보문로29길 49 (삼선동3가. 경동고등학교),02-928-2353,2020-01-01,,보문로29길,49,,,,
37.6095892871169,127.066717588798,school,public,석관고등학교,"서울특별시 성북구 한천로70길 30 (석관동, 석관고등학교)",02-958-1000,2020-01-01,,한천로70길,30,,,,
37.607838568731,127.002830184796,school,private,고려대학교사범대학부속고등학교,"서울특별시 성북구 정릉로 161 (정릉동, 고려대학교사범대학부속고등학교)",02-914-7483,2020-01-01,,정릉로,161,,,,
37.5886903262008,127.024660795253,school,private,용문고등학교,서울특별시 성북구 고려대로17가길 46 (안암동2가),02-926-2765,2020-01-01,,고려대로17가길,46,,,,
37.5936666161184,127.002804963597,school,private,홍익대학교사범대학부속고등학교,서울특별시 성북구 성북로14가길 23 (성북동.홍익대학교부속중고등학교),02-762-0826,2020-01-01,,성북로14가길,23,,,,
37.6074935996761,127.020183575106,school,private,계성고등학교,"서울특별시 성북구 길음로 63 (길음동, 계성고등학교)",02-728-6100,2020-01-01,,길음로,63,,,,
37.5942896306119,127.022407171613,school,private,성신여자고등학교,"서울특별시 성북구 동소문로26가길 80 (돈암동, 성신여자고등학교)",02-6930-9100,2020-01-01,,동소문로26가길,80,,,,
37.583064896247,127.011742675693,school,private,한성여자고등학교,"서울특별시 성북구 삼선교로16길 117 (삼선동2가, 한성여자고등학교)",02-742-2845,2020-01-01,,삼선교로16길,117,,,,
37.6133045933527,127.014175970968,school,private,대일외국어고등학교,"서울특별시 성북구 서경로 116 (정릉동, 대일외국어고등학교)",02-940-1000,2020-01-01,,서경로,116,,,,
37.6078128032701,127.033044179358,school,public,서울도시과학기술고등학교,"서울특별시 성북구 종암로 196 (하월곡동, 서울도시과학기술고등학교)",02-940-2503,2020-01-01,,종암로,196,,,,
37.5941058673244,127.008215312445,school,private,동구마케팅고등학교,"서울특별시 성북구 성북로8길 71 (성북동, 동구마케팅고등학교)",02-2170-8685,2020-01-01,,성북로8길,71,,,,
37.5976746822279,127.019186925653,school,private,고명외식고등학교,"서울특별시 성북구 북악산로 870 (돈암동, 고명외식고등학교)",02-928-8366,2020-01-01,,북악산로,870,,,,
37.5887034223667,127.031698331241,univercity,private,고려대학교,,02-3290-1114,2020-01-01,,안암로,145,안암동,,,
37.6102878430906,126.998520644814,univercity,private,국민대학교,,02-910-4114,2020-01-01,,정릉로,77,정릉동,,,
37.6068148327539,127.041176301847,univercity,private,동덕여자대학교,,02-940-4000,2020-01-01,,화랑로13길,60,월곡동,,,
37.6154147804327,127.013565764354,univercity,private,서경대학교,,02-940-7114,2020-01-01,,서경로,124,정릉동,,,
37.5916524767249,127.02214561649,univercity,private,성신여자대학교,,02-920-7114,2020-01-01,,보문로34다길,2,동선동,,,
37.6063581128476,127.053940846723,univercity,government,한국예술종합학교,,02-746-9000,2020-01-01,,화랑로32길,146-37,석관동,,,
37.5832358514072,127.010390004805,univercity,private,한성대학교,,02-760-4114,2020-01-01,,삼선교로16길,116,삼선동,,,
37.596656643417,126.991487842715,univercity,private,동방문화대학원대학교,,02-3668-9800,2020-01-01,,성북로28길,60,성북동,,,
